project,snapshot,date,cyclic_module
MenuCal,MenuCal_backup_20251228,2025-12-28,MenuCal/MenuCal_backup_20251228/Features/Analytics
MenuCal,MenuCal_backup_20251228,2025-12-28,MenuCal/MenuCal_backup_20251228/Features/AutoDetection
MenuCal,MenuCal_backup_20251228,2025-12-28,MenuCal/MenuCal_backup_20251228/Features/Barcode
MenuCal,MenuCal_backup_20251228,2025-12-28,MenuCal/MenuCal_backup_20251228/Features/Favorite
MenuCal,MenuCal_backup_20251228,2025-12-28,MenuCal/MenuCal_backup_20251228/Features/FindRetaurants
MenuCal,MenuCal_backup_20251228,2025-12-28,MenuCal/MenuCal_backup_20251228/Features/FoodNews
MenuCal,MenuCal_backup_20251228,2025-12-28,MenuCal/MenuCal_backup_20251228/Features/FoodPhoto
MenuCal,MenuCal_backup_20251228,2025-12-28,MenuCal/MenuCal_backup_20251228/Features/Games
MenuCal,MenuCal_backup_20251228,2025-12-28,MenuCal/MenuCal_backup_20251228/Features/History
MenuCal,MenuCal_backup_20251228,2025-12-28,MenuCal/MenuCal_backup_20251228/Features/MenuScan
MenuCal,MenuCal_backup_20251228,2025-12-28,MenuCal/MenuCal_backup_20251228/Features/Preferences
MenuCal,MenuCal_backup_20251228,2025-12-28,MenuCal/MenuCal_backup_20251228/Features/Recipes
MenuCal,MenuCal_backup_20251228,2025-12-28,MenuCal/MenuCal_backup_20251228/Features/Recipes/RecipeDetail
MenuCal,MenuCal_backup_20251228,2025-12-28,MenuCal/MenuCal_backup_20251228/Features/Recipes/RecipeGrid
MenuCal,MenuCal_backup_20251228,2025-12-28,MenuCal/MenuCal_backup_20251228/Features/Recipes/RecipeGrid/MyRecipe
MenuCal,MenuCal_backup_20251228,2025-12-28,MenuCal/MenuCal_backup_20251228/Features/Recipes/Search
MenuCal,MenuCal_backup_20251228,2025-12-28,MenuCal/MenuCal_backup_20251228/Features/Setting
MenuCal,MenuCal_backup_20251229,2025-12-29,MenuCal/MenuCal_backup_20251229/App
MenuCal,MenuCal_backup_20251229,2025-12-29,MenuCal/MenuCal_backup_20251229/DevTools
